,LABEL,1d_Hurst,1d_FDI,lower_range,upper_range,VWAP_spot,z_score,partiality,15p_geomean,trend
0,ETF : XLV,0.3868495470966907,1.6131504529033092,131.09196731289805,133.26562848612522,132.42343589478736,0.2250930350037185,61.0% | 39.0%,-4e-06,MEAN REVERTING
1,ETF : XLP,0.49955833701526337,1.5004416629847366,73.40945270053592,74.93583568762276,74.24975038948838,0.10103125632473749,55.00000000000001% | 45.0%,-9.9e-05,BROWNIAN
2,ETF : XLU,0.5393972056841804,1.4606027943158195,64.94616499373579,67.11595842176841,65.99476550770845,-0.03345590375076519,48.0% | 52.0%,-0.00028,BROWNIAN
3,ETF : XLK,0.5784921428134382,1.4215078571865618,165.89631448300875,173.9226934868826,170.117550692624,0.05184073853924007,53.0% | 47.0%,-0.000281,BEARISH
4,ETF : XLY,0.44728719213409385,1.5527128078659063,165.16963779164112,167.76759610384946,166.92344725992226,0.3501444269060256,68.0% | 32.0%,-7e-06,MEAN REVERTING
5,ETF : XLB,0.38302171856295186,1.6169782814370481,79.0902353197701,81.41970293201263,80.29158782262019,0.03143954140969655,52.0% | 48.0%,-0.000145,MEAN REVERTING
6,ETF : XLI,0.41263172516782914,1.587368274832171,103.07716967365869,105.48484018339926,104.15581600561379,-0.1039917400730011,45.0% | 55.00000000000001%,-0.000153,MEAN REVERTING
7,ETF : XLE,0.40662627829940085,1.5933737217005992,75.55415145060564,80.72146513845678,77.88992783811841,-0.09594171029159414,45.0% | 55.00000000000001%,-0.000427,MEAN REVERTING
8,ETF : XLF,0.4790660972752546,1.5209339027247455,32.41371554413777,33.46679982422256,32.878374305784206,-0.11752787420011442,44.0% | 56.00000000000001%,-0.000266,BROWNIAN
9,ETF : XOP,0.3633139596738246,1.6366860403261754,119.53980486093268,127.05436675135947,122.69323842615186,-0.1607139281834862,42.0% | 57.99999999999999%,-0.000399,MEAN REVERTING
10,ETF : QQQ,0.4447075295127427,1.5552924704872573,358.5537671164736,369.87400627653636,365.190071854694,0.17246723225299976,59.0% | 41.0%,-0.000155,MEAN REVERTING
11,COMMODITY : HG=F,0.4282213687969921,1.571778631203008,3.840477696289251,3.923125826602612,3.8665932794188738,-0.3680296691381807,32.0% | 68.0%,-0.000112,MEAN REVERTING
12,COMMODITY : NG=F,0.6084297816649203,1.3915702183350795,2.500508038552428,2.7069760800413887,2.6022432184949214,-0.014518864916603192,49.0% | 51.0%,5.9e-05,BULLISH
13,COMMODITY : CL=F,0.48582838046185023,1.5141716195381498,67.27571064451647,71.43048532511398,69.07201993996149,-0.1353036284573227,43.0% | 56.99999999999999%,-0.000516,BROWNIAN
14,ETF : SPHB,0.6045848583498277,1.3954151416501723,72.07809390773305,75.3120569178002,73.71010547961951,0.009295138383524668,50.0% | 50.0%,-0.000282,BEARISH
15,ETF : SPLV,0.3969800116097875,1.6030199883902125,61.86279992706683,62.872078546085746,62.43702016411466,0.1378824959276465,56.99999999999999% | 43.0%,-9.8e-05,MEAN REVERTING
16,ETF : MTUM,0.44325293471759336,1.5567470652824067,140.15025942455253,143.16732076358755,141.77991773276852,0.0802951117574716,54.0% | 46.0%,-0.000131,MEAN REVERTING
17,ETF : IWF,0.46485150857803736,1.5351484914219626,267.43555573438186,273.92051620462746,271.2691149346082,0.18229223379711212,59.0% | 41.0%,-0.000105,BROWNIAN
18,ETF : IWM,0.5739622872811224,1.4260377127188777,181.4362578709222,185.66343289140463,183.5202603466506,-0.01399754416103816,49.0% | 51.0%,-0.000135,BEARISH
19,ETF : MDY,0.5982570625201872,1.401742937479813,458.86696032647177,469.7879952383781,464.39945798854086,0.013181938652620621,51.0% | 49.0%,-0.000144,BEARISH
20,ETF : CWB,0.35785782199389293,1.642142178006107,68.98562282739226,69.55059036234499,69.28992224033507,0.07722796131381954,54.0% | 46.0%,-2.5e-05,MEAN REVERTING
21,ETF : HYG,0.5824039315351083,1.4175960684648916,73.9251068636075,74.85618090756374,74.3501419956906,-0.08700036298491252,46.0% | 54.0%,-9.3e-05,BEARISH
22,ETF : BKLN,0.5509720208368044,1.4490279791631955,20.65745478613186,20.964653259242123,20.816998498120544,0.03870120429549113,52.0% | 48.0%,-8.9e-05,BEARISH
23,ETF : BIZD,0.5286859716092235,1.4713140283907764,14.832135763084313,15.142375942399028,14.967545223786125,-0.12706690022603695,44.0% | 56.00000000000001%,-0.000193,BROWNIAN
24,ETF : FXE,0.5148714045397031,1.4851285954602969,100.64405003106837,101.79988903055799,101.18620148180531,-0.0618910575325192,47.0% | 53.0%,1.1e-05,BROWNIAN
25,ETF : JJC,0.646207290492704,1.353792709507296,18.8211794540903,19.716252558673837,19.240812069410303,-0.06235007359482133,47.0% | 53.0%,0.00029,BULLISH
26,ETF : PFF,0.46769715425710473,1.5323028457428953,30.389222045884818,30.629270363783125,30.51134833071435,0.01751418963300212,51.0% | 49.0%,-3.6e-05,BROWNIAN
27,ETF : USO,0.49715699465791113,1.502843005342089,61.1504746798164,64.44258585399663,62.48905385973542,-0.18679588319046295,41.0% | 59.0%,-0.000226,BROWNIAN
28,ETF : VNQ,0.6808023283915109,1.3191976716084892,79.31657530845506,83.17087161549982,81.32506358925278,0.04220751120077022,52.0% | 48.0%,-0.000382,BEARISH
29,ETF : UNG,0.5064625748478546,1.4935374251521454,6.8388788682009105,7.458586307073028,7.2093956090042175,0.19577954874208547,60.0% | 40.0%,2.9e-05,BROWNIAN
30,ETF : MUB,0.5126794151050412,1.4873205848949587,106.47277665799135,106.89298798426134,106.6491097333794,-0.16074096834428836,42.0% | 57.99999999999999%,-5e-06,BROWNIAN
